
Standard & Poors 500 Index,Last: 4298.8599,Change:  4.9299
Date: 9 June 2023, 10:18 PM EDT,Bid: 4282.98,Ask: 4315.8198,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 09 2023,SPXW230609C04285000,16.5,-0.4,12.8,16.4,6111,0,0,0,2475,4285.00,SPXW230609P04285000,0.05,-5.85,0,0.05,45504,0,0,0,1301
Fri Jun 09 2023,SPXW230609C04290000,10.76,-2.84,9,11.4,8909,0,0,0,4180,4290.00,SPXW230609P04290000,0.05,-7.55,0,0.05,68978,0,0,0,2461
Fri Jun 09 2023,SPXW230609C04295000,4,-6.7,3.5,6.3,17501,0,0,0,2172,4295.00,SPXW230609P04295000,0.05,-9.75,0,0.05,74497,0,0,0,832
Fri Jun 09 2023,SPXW230609C04300000,0.2,-8.1,0.15,0.2,61601,0,0,0,8423,4300.00,SPXW230609P04300000,0.55,-11.8,0.3,0.6,109125,0,0,0,2101
Fri Jun 09 2023,SPXW230609C04305000,0.05,-6.25,0,0.05,82935,0,0,0,2171,4305.00,SPXW230609P04305000,4,-11.35,3.7,5,53230,0,0,0,361
Fri Jun 09 2023,SPXW230609C04310000,0.05,-4.6,0,0.05,112839,0,0,0,7578,4310.00,SPXW230609P04310000,9.8,-9,9.3,11,40127,0,0,0,535
Mon Jun 12 2023,SPXW230612C04285000,23.67,1.97,23.2,24.4,1072,0.0696,0.7546,0.0111,929,4285.00,SPXW230612P04285000,3.99,-6.1,3.9,4.1,3603,0.0732,-0.2452,0.0111,459
Mon Jun 12 2023,SPXW230612C04290000,19.8,1.2,19.7,20,1605,0.069,0.6997,0.0126,1082,4290.00,SPXW230612P04290000,5.2,-6.7,5.1,5.2,7254,0.0715,-0.3001,0.0125,737
Mon Jun 12 2023,SPXW230612C04295000,16.35,0.65,16.1,16.5,2698,0.0669,0.6368,0.0138,745,4295.00,SPXW230612P04295000,6.64,-7.7,6.5,6.7,5366,0.0703,-0.3631,0.0138,367
Mon Jun 12 2023,SPXW230612C04300000,12.95,-0.4,13,13.2,12811,0.068,0.5671,0.0147,6359,4300.00,SPXW230612P04300000,8.5,-8.05,8.3,8.5,10889,0.0693,-0.4328,0.0147,1968
Mon Jun 12 2023,SPXW230612C04305000,10.29,-0.8,10.2,10.4,7657,0.0667,0.4929,0.0151,864,4305.00,SPXW230612P04305000,10.8,-9.29,10.4,10.7,4903,0.0686,-0.507,0.0151,132
Mon Jun 12 2023,SPXW230612C04310000,7.86,-1.01,7.9,8.1,9811,0.067,0.4176,0.0149,1886,4310.00,SPXW230612P04310000,13.75,-8.45,13.1,13.4,3958,0.0681,-0.5823,0.0149,87
Tue Jun 13 2023,SPXW230613C04285000,28.4,1.7,29.1,29.5,270,0.095,0.6777,0.0081,226,4285.00,SPXW230613P04285000,9.3,-5.3,8.9,9.2,387,0.0982,-0.3222,0.0081,148
Tue Jun 13 2023,SPXW230613C04290000,25.42,1.72,25.6,26,482,0.0943,0.6374,0.0086,1411,4290.00,SPXW230613P04290000,11,-5.5,10.5,10.8,3127,0.0971,-0.3625,0.0086,219
Tue Jun 13 2023,SPXW230613C04295000,22.04,1.24,22.4,22.8,540,0.0921,0.5944,0.009,421,4295.00,SPXW230613P04295000,12.37,-6.28,12.2,12.6,851,0.0963,-0.4055,0.009,180
Tue Jun 13 2023,SPXW230613C04300000,19.3,1.1,19.4,19.8,1480,0.0913,0.5493,0.0093,1510,4300.00,SPXW230613P04300000,14.32,-6.73,14.2,14.6,1641,0.0957,-0.4506,0.0093,236
Tue Jun 13 2023,SPXW230613C04305000,16.2,0.4,16.7,17,1138,0.0925,0.5027,0.0094,502,4305.00,SPXW230613P04305000,17.1,-6.55,16.5,16.8,513,0.0949,-0.4972,0.0094,36
Tue Jun 13 2023,SPXW230613C04310000,14.3,0.7,14.2,14.5,3039,0.0921,0.4554,0.0095,3127,4310.00,SPXW230613P04310000,19.6,-6.85,18.9,19.3,427,0.0942,-0.5445,0.0094,38
Wed Jun 14 2023,SPXW230614C04285000,35.7,3.3,35.2,35.6,138,0.1206,0.6276,0.0062,177,4285.00,SPXW230614P04285000,15.9,-4.75,15.4,15.7,315,0.1223,-0.3722,0.0062,150
Wed Jun 14 2023,SPXW230614C04290000,32.39,2.99,31.9,32.4,667,0.12,0.597,0.0064,707,4290.00,SPXW230614P04290000,17.77,-4.93,17.2,17.5,386,0.1214,-0.4029,0.0064,278
Wed Jun 14 2023,SPXW230614C04295000,27.2,0.6,28.9,29.3,430,0.1194,0.5653,0.0065,199,4295.00,SPXW230614P04295000,19.8,-5.85,19.1,19.5,817,0.1206,-0.4346,0.0065,184
Wed Jun 14 2023,SPXW230614C04300000,25.6,1.65,26.1,26.4,4726,0.1185,0.5328,0.0066,1447,4300.00,SPXW230614P04300000,21.4,-6.4,21.2,21.6,1563,0.1199,-0.4671,0.0066,689
Wed Jun 14 2023,SPXW230614C04305000,23.2,1.7,23.4,23.7,511,0.1177,0.4996,0.0067,128,4305.00,SPXW230614P04305000,23.7,-6.15,23.5,23.9,831,0.1189,-0.5002,0.0067,332
Wed Jun 14 2023,SPXW230614C04310000,21.14,1.94,20.9,21.2,915,0.1172,0.4662,0.0067,700,4310.00,SPXW230614P04310000,26.4,-6.65,26,26.4,525,0.1186,-0.5337,0.0067,90
Thu Jun 15 2023,SPXW230615C04285000,38.5,2.8,38.8,39.3,237,0.1225,0.6239,0.0056,580,4285.00,SPXW230615P04285000,17.8,-4.3,17.2,17.5,623,0.1227,-0.3763,0.0056,483
Thu Jun 15 2023,SPXW230615C04290000,36.04,3.29,35.6,36,64,0.1202,0.5963,0.0058,880,4290.00,SPXW230615P04290000,19.62,-4.48,19,19.3,317,0.1218,-0.4039,0.0058,423
Thu Jun 15 2023,SPXW230615C04295000,31.07,1.27,32.5,33,69,0.122,0.5678,0.0059,230,4295.00,SPXW230615P04295000,22.5,-5.4,20.9,21.2,701,0.1211,-0.4324,0.0059,253
Thu Jun 15 2023,SPXW230615C04300000,29.89,2.6,29.6,30,1943,0.1215,0.5385,0.006,2725,4300.00,SPXW230615P04300000,23.4,-5,23,23.3,2141,0.1203,-0.4617,0.006,856
Thu Jun 15 2023,SPXW230615C04305000,26.6,2.1,26.9,27.3,168,0.1207,0.5086,0.006,114,4305.00,SPXW230615P04305000,27.38,-5.9,25.2,25.6,236,0.1194,-0.4916,0.006,174
Thu Jun 15 2023,SPXW230615C04310000,24.05,1.95,24.3,24.6,305,0.12,0.4784,0.0061,243,4310.00,SPXW230615P04310000,29,-4.45,27.5,28,173,0.1186,-0.5218,0.0061,241
Fri Jun 16 2023,SPXW230616C04290000,37.9,2.9,38,38.4,450,0.1218,0.5962,0.0053,3164,4290.00,SPXW230616P04290000,21.1,-4.6,20.8,21.1,1424,0.1226,-0.4042,0.0053,467
Fri Jun 16 2023,SPX230616C04295000,30.5,-0.3,33.5,34.5,504,0.1187,0.571,0.0057,9865,4295.00,SPX230616P04295000,22.17,-4.28,21.3,22,487,0.1183,-0.4294,0.0057,9372
Fri Jun 16 2023,SPXW230616C04295000,35.4,3.3,35,35.4,520,0.1212,0.5698,0.0054,751,4295.00,SPXW230616P04295000,23.3,-4.45,22.7,23,730,0.1219,-0.4306,0.0054,395
Fri Jun 16 2023,SPX230616C04300000,28,2.8,30.5,31.5,16917,0.1178,0.5426,0.0058,58707,4300.00,SPX230616P04300000,23.7,-4.65,23.4,24.1,11321,0.1177,-0.4577,0.0058,44156
Fri Jun 16 2023,SPXW230616C04300000,31.9,2.6,32,32.4,4466,0.1201,0.5427,0.0055,6108,4300.00,SPXW230616P04300000,25,-4.95,24.7,25.1,2852,0.1212,-0.4576,0.0055,972
Fri Jun 16 2023,SPX230616C04305000,28.5,3.1,27.8,28.7,10325,0.115,0.5208,0.0059,2285,4305.00,SPX230616P04305000,26.5,-4.6,25.6,26.2,10039,0.118,-0.4786,0.0058,1271
Tue Jun 20 2023,SPXW230620C04285000,43.55,2.7,44,44.6,234,0.1062,0.6152,0.0048,253,4285.00,SPXW230620P04285000,22.42,-3.48,21.2,21.6,75,0.1073,-0.3848,0.0048,179
Tue Jun 20 2023,SPXW230620C04290000,40.26,2.51,40.8,41.3,150,0.1056,0.5919,0.0049,406,4290.00,SPXW230620P04290000,23.5,-4.3,22.9,23.4,548,0.1066,-0.4081,0.0049,121
Tue Jun 20 2023,SPXW230620C04295000,35.61,0.76,37.7,38.2,98,0.1048,0.5678,0.005,48,4295.00,SPXW230620P04295000,25.07,-4.78,24.8,25.3,72,0.1058,-0.4321,0.005,96
Tue Jun 20 2023,SPXW230620C04300000,34.94,2.94,34.7,35.2,1530,0.104,0.5432,0.0051,4030,4300.00,SPXW230620P04300000,27.35,-4.7,26.8,27.3,1621,0.1052,-0.4568,0.0051,436
Tue Jun 20 2023,SPXW230620C04305000,29.62,0.32,31.9,32.4,481,0.1033,0.5179,0.0051,322,4305.00,SPXW230620P04305000,29.03,-5.32,29,29.4,107,0.1043,-0.482,0.0051,101
Tue Jun 20 2023,SPXW230620C04310000,28.2,1.4,29.2,29.7,304,0.1026,0.4922,0.0052,366,4310.00,SPXW230620P04310000,31.57,-5.28,31.3,31.8,84,0.104,-0.5077,0.0052,114
Wed Jun 21 2023,SPXW230621C04285000,44.48,1.98,46,46.5,77,0.1085,0.6118,0.0045,628,4285.00,SPXW230621P04285000,24.5,-2.7,22.7,23.1,13,0.1083,-0.3882,0.0045,121
Wed Jun 21 2023,SPXW230621C04290000,43,3.55,42.7,43.2,167,0.1068,0.5896,0.0046,539,4290.00,SPXW230621P04290000,25.14,-4.01,24.5,24.9,111,0.1075,-0.4104,0.0046,234
Wed Jun 21 2023,SPXW230621C04295000,37.17,0.67,39.6,40.1,3,0.106,0.5667,0.0047,75,4295.00,SPXW230621P04295000,26.8,-4.35,26.3,26.8,64,0.1067,-0.4332,0.0047,101
Wed Jun 21 2023,SPXW230621C04300000,35.2,1.55,36.6,37.1,778,0.1052,0.5433,0.0048,1225,4300.00,SPXW230621P04300000,30.73,-2.62,28.3,28.8,567,0.1062,-0.4567,0.0048,188
Wed Jun 21 2023,SPXW230621C04305000,31.62,0.67,33.8,34.3,238,0.1042,0.5193,0.0049,101,4305.00,SPXW230621P04305000,30.9,-4.75,30.5,30.9,134,0.105,-0.4807,0.0049,39
Wed Jun 21 2023,SPXW230621C04310000,30.35,1.9,31.1,31.5,276,0.1034,0.4949,0.0049,454,4310.00,SPXW230621P04310000,35.29,-2.76,32.8,33.2,327,0.1045,-0.5051,0.0049,63
Thu Jun 22 2023,SPXW230622C04285000,58.57,13.22,49,49.5,6,0.1098,0.6126,0.0043,55,4285.00,SPXW230622P04285000,23.18,-5.27,24.2,24.6,1,0.1108,-0.3877,0.0043,58
