
SPDR S&P 500 ETF Trust,Last: 427.92,Change:  6.1
Date: 4 June 4, 3:15 PM EDT,Bid: 427.96,Ask: 428.03,Size: 1*6,Volume: 91,391,793
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jun 05 2023,SPY230605C00330000,97.35,6.05,97.49,98.32,3,1.0021,0.9997,0,2,330.00,SPY230605P00330000,0.01,0.005,0,0.01,1,0.8916,0,0,726
Mon Jun 05 2023,SPY230605C00340000,78.65,0,87.5,88.32,0,0.8987,0.9996,0,0,340.00,SPY230605P00340000,0.02,0,0,0.01,0,0.7956,-0.0001,0,632
Mon Jun 05 2023,SPY230605C00350000,77.69,6.37,77.5,78.32,24,0.7776,0.9995,0,62,350.00,SPY230605P00350000,0.02,0,0,0.01,0,0.7019,-0.0002,0,171
Mon Jun 05 2023,SPY230605C00352000,75.67,6.33,75.5,76.32,20,0.7537,0.9995,0,0,352.00,SPY230605P00352000,0.01,0,0,0.01,0,0.6833,-0.0002,0,129
Mon Jun 05 2023,SPY230605C00353000,0,0,74.5,75.32,0,0.7418,0.9994,0,0,353.00,SPY230605P00353000,0.01,0,0,0.01,0,0.6741,-0.0003,0,526
Mon Jun 05 2023,SPY230605C00354000,0,0,73.5,74.32,0,0.7299,0.9994,0,0,354.00,SPY230605P00354000,0,0,0,0.01,0,0.6649,-0.0003,0,0
Mon Jun 05 2023,SPY230605C00355000,0,0,72.5,73.32,0,0.718,0.9994,0,0,355.00,SPY230605P00355000,0.01,0,0,0.01,0,0.6557,-0.0003,0,13
Mon Jun 05 2023,SPY230605C00356000,0,0,71.5,72.32,0,0.7062,0.9994,0,0,356.00,SPY230605P00356000,0.01,0,0,0.01,0,0.6465,-0.0003,0,309
Mon Jun 05 2023,SPY230605C00357000,0,0,70.5,71.32,0,0.6943,0.9994,0,0,357.00,SPY230605P00357000,0.03,0,0,0.01,0,0.6373,-0.0004,0.0001,231
Mon Jun 05 2023,SPY230605C00358000,0,0,69.5,70.32,0,0.6825,0.9993,0.0001,0,358.00,SPY230605P00358000,0.01,0,0,0.01,0,0.6282,-0.0004,0.0001,443
Mon Jun 05 2023,SPY230605C00359000,0,0,68.5,69.32,0,0.6707,0.9993,0.0001,0,359.00,SPY230605P00359000,0.01,0,0,0.01,0,0.619,-0.0004,0.0001,698
Mon Jun 05 2023,SPY230605C00360000,57.63,0,67.5,68.32,0,0.6589,0.9993,0.0001,4,360.00,SPY230605P00360000,0.01,-0.005,0,0.01,1,0.61,-0.0004,0.0001,117
Mon Jun 05 2023,SPY230605C00361000,0,0,66.5,67.32,0,0.6472,0.9992,0.0001,0,361.00,SPY230605P00361000,0.04,0,0,0.01,0,0.6009,-0.0005,0.0001,3
Mon Jun 05 2023,SPY230605C00362000,0,0,65.5,66.33,0,0.6566,0.9992,0.0001,0,362.00,SPY230605P00362000,0.04,0,0,0.01,0,0.5919,-0.0005,0.0001,60
Mon Jun 05 2023,SPY230605C00363000,0,0,64.5,65.33,0,0.6451,0.9992,0.0001,0,363.00,SPY230605P00363000,0.1,0,0,0.01,0,0.5828,-0.0005,0.0001,327
Mon Jun 05 2023,SPY230605C00364000,53.96,0,63.5,64.33,0,0.6336,0.9992,0.0001,16,364.00,SPY230605P00364000,0.01,0,0,0.01,0,0.5738,-0.0006,0.0001,709
Mon Jun 05 2023,SPY230605C00365000,53.69,0,62.5,63.33,0,0.6222,0.9991,0.0001,400,365.00,SPY230605P00365000,0.03,0,0,0.01,0,0.5648,-0.0006,0.0001,32
Mon Jun 05 2023,SPY230605C00366000,0,0,61.5,62.33,0,0.6108,0.9991,0.0001,0,366.00,SPY230605P00366000,0.03,0,0,0.01,0,0.5558,-0.0006,0.0001,66
Mon Jun 05 2023,SPY230605C00367000,0,0,60.5,61.33,0,0.5994,0.999,0.0001,0,367.00,SPY230605P00367000,0.04,0,0,0.01,0,0.5468,-0.0007,0.0001,184
Mon Jun 05 2023,SPY230605C00368000,0,0,59.51,60.33,0,0.6053,0.999,0.0001,0,368.00,SPY230605P00368000,0.04,0,0,0.01,0,0.5378,-0.0007,0.0001,5
Mon Jun 05 2023,SPY230605C00369000,0,0,58.51,59.33,0,0.5941,0.999,0.0001,0,369.00,SPY230605P00369000,0.01,0,0,0.01,0,0.5288,-0.0008,0.0001,221
Mon Jun 05 2023,SPY230605C00370000,55.38,4.02,57.51,58.33,1,0.5828,0.9989,0.0001,1,370.00,SPY230605P00370000,0.03,0.015,0,0.01,1,0.5199,-0.0008,0.0001,1447
Mon Jun 05 2023,SPY230605C00371000,0,0,56.51,57.33,0,0.5716,0.9989,0.0001,0,371.00,SPY230605P00371000,0.03,0,0,0.01,0,0.511,-0.0008,0.0001,575
Mon Jun 05 2023,SPY230605C00372000,53.6,4.23,55.51,56.33,2,0.5605,0.9988,0.0002,0,372.00,SPY230605P00372000,0.02,0,0,0.01,0,0.502,-0.0009,0.0002,4883
Mon Jun 05 2023,SPY230605C00373000,44.62,0,54.51,55.33,0,0.5494,0.9988,0.0002,25,373.00,SPY230605P00373000,0.02,0,0,0.01,0,0.4931,-0.001,0.0002,554
Mon Jun 05 2023,SPY230605C00374000,54.35,7.005,53.51,54.33,15,0.5382,0.9987,0.0002,5,374.00,SPY230605P00374000,0.01,-0.015,0,0.01,1,0.4842,-0.001,0.0002,80
Mon Jun 05 2023,SPY230605C00375000,50.47,4.125,52.51,53.33,26,0.5272,0.9986,0.0002,0,375.00,SPY230605P00375000,0.02,0,0,0.01,0,0.4754,-0.0011,0.0002,178
Mon Jun 05 2023,SPY230605C00376000,0,0,51.51,52.33,0,0.5161,0.9986,0.0002,0,376.00,SPY230605P00376000,0.01,-0.015,0,0.01,1,0.4665,-0.0011,0.0002,178
Mon Jun 05 2023,SPY230605C00377000,48.8,4.43,50.51,51.33,7,0.5051,0.9985,0.0002,1,377.00,SPY230605P00377000,0.03,0,0,0.01,0,0.4577,-0.0012,0.0002,40
Mon Jun 05 2023,SPY230605C00378000,47.71,4.34,49.51,50.33,5,0.4941,0.9984,0.0002,100,378.00,SPY230605P00378000,0.01,-0.015,0,0.01,1,0.4488,-0.0013,0.0002,53
Mon Jun 05 2023,SPY230605C00379000,0,0,48.51,49.33,0,0.4831,0.9984,0.0002,0,379.00,SPY230605P00379000,0.01,-0.015,0,0.01,101,0.44,-0.0014,0.0002,48
Mon Jun 05 2023,SPY230605C00380000,48.33,6.945,47.51,48.33,48,0.4722,0.9983,0.0003,13,380.00,SPY230605P00380000,0.01,-0.015,0,0.01,126,0.4312,-0.0014,0.0003,113
Mon Jun 05 2023,SPY230605C00381000,44.74,4.385,46.51,47.34,1,0.4759,0.9982,0.0003,1,381.00,SPY230605P00381000,0.01,-0.015,0,0.01,816,0.4224,-0.0015,0.0003,80
Mon Jun 05 2023,SPY230605C00382000,0,0,45.51,46.34,0,0.465,0.9981,0.0003,0,382.00,SPY230605P00382000,0.01,-0.015,0,0.01,521,0.4136,-0.0016,0.0003,558
Mon Jun 05 2023,SPY230605C00383000,42.83,4.47,44.51,45.34,4,0.4542,0.998,0.0003,1,383.00,SPY230605P00383000,0.01,-0.015,0,0.01,114,0.4048,-0.0017,0.0003,419
Mon Jun 05 2023,SPY230605C00384000,44.42,7.04,43.51,44.34,5,0.4434,0.9979,0.0004,5,384.00,SPY230605P00384000,0.01,-0.015,0,0.01,898,0.396,-0.0018,0.0004,135
