
NASDAQ 100,Last: 14298.4092,Change:  359.9092
"Date: May 26, 2023 at 5:18 PM EDT",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri May 26 2023,NDXP230526C09000000,5280.85,308.9,5194,5394,8,0,1,0,64,9000.00,NDXP230526P09000000,1.08,0,0,20,0,0,0,0,2
Fri May 26 2023,NDXP230526C09100000,0,0,5094,5294,0,0,1,0,0,9100.00,NDXP230526P09100000,1.12,0,0,20,0,0,0,0,2
Fri May 26 2023,NDXP230526C09200000,0,0,4994,5194,0,0,1,0,0,9200.00,NDXP230526P09200000,2.1,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C09300000,0,0,4894,5094,0,0,1,0,0,9300.00,NDXP230526P09300000,1.3,0,0,20,0,0,0,0,4
Fri May 26 2023,NDXP230526C09400000,0,0,4794,4994,0,0,1,0,0,9400.00,NDXP230526P09400000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C09500000,0,0,4694,4894,0,0,1,0,0,9500.00,NDXP230526P09500000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C09600000,0,0,4594,4794,0,0,1,0,0,9600.00,NDXP230526P09600000,0.35,0,0,20,0,0,0,0,1
Fri May 26 2023,NDXP230526C09700000,0,0,4494,4694,0,0,1,0,0,9700.00,NDXP230526P09700000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C09800000,0,0,4394,4594,0,0,1,0,0,9800.00,NDXP230526P09800000,0.45,0,0,20,0,0,0,0,4
Fri May 26 2023,NDXP230526C09900000,0,0,4294,4494,0,0,1,0,0,9900.00,NDXP230526P09900000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10000000,0,0,4194,4394,0,0,1,0,0,10000.00,NDXP230526P10000000,0.75,0,0,20,0,0,0,0,2
Fri May 26 2023,NDXP230526C10025000,0,0,4170,4370,0,0,1,0,0,10025.00,NDXP230526P10025000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10050000,0,0,4144,4344,0,0,1,0,0,10050.00,NDXP230526P10050000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10075000,0,0,4120,4320,0,0,1,0,0,10075.00,NDXP230526P10075000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10100000,0,0,4094,4294,0,0,1,0,0,10100.00,NDXP230526P10100000,1.9,0,0,20,0,0,0,0,2
Fri May 26 2023,NDXP230526C10125000,0,0,4070,4270,0,0,1,0,0,10125.00,NDXP230526P10125000,9.41,0,0,20,0,0,0,0,1
Fri May 26 2023,NDXP230526C10150000,0,0,4044,4244,0,0,1,0,0,10150.00,NDXP230526P10150000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10175000,0,0,4020,4220,0,0,1,0,0,10175.00,NDXP230526P10175000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10200000,0,0,3994,4194,0,0,1,0,0,10200.00,NDXP230526P10200000,8.61,0,0,20,0,0,0,0,1
Fri May 26 2023,NDXP230526C10225000,0,0,3970,4170,0,0,1,0,0,10225.00,NDXP230526P10225000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10250000,0,0,3944,4144,0,0,1,0,0,10250.00,NDXP230526P10250000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10275000,0,0,3920,4120,0,0,1,0,0,10275.00,NDXP230526P10275000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10300000,0,0,3894,4094,0,0,1,0,0,10300.00,NDXP230526P10300000,7.15,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10325000,0,0,3870,4070,0,0,1,0,0,10325.00,NDXP230526P10325000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10350000,0,0,3844,4044,0,0,1,0,0,10350.00,NDXP230526P10350000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10375000,0,0,3820,4020,0,0,1,0,0,10375.00,NDXP230526P10375000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10400000,0,0,3794,3994,0,0,1,0,0,10400.00,NDXP230526P10400000,0.05,0.025,0,0.05,3,0,0,0,78
Fri May 26 2023,NDXP230526C10425000,0,0,3770,3970,0,0,1,0,0,10425.00,NDXP230526P10425000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10450000,0,0,3744,3944,0,0,1,0,0,10450.00,NDXP230526P10450000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10475000,0,0,3720,3920,0,0,1,0,0,10475.00,NDXP230526P10475000,10,0,0,20,0,0,0,0,1
Fri May 26 2023,NDXP230526C10500000,0,0,3694,3894,0,0,1,0,0,10500.00,NDXP230526P10500000,0.05,0,0,0.05,0,0,0,0,6
Fri May 26 2023,NDXP230526C10525000,0,0,3670,3870,0,0,1,0,0,10525.00,NDXP230526P10525000,0.08,0.055,0,20,1,0,0,0,6
Fri May 26 2023,NDXP230526C10550000,0,0,3644,3844,0,0,1,0,0,10550.00,NDXP230526P10550000,0.05,0,0,20,0,0,0,0,3
Fri May 26 2023,NDXP230526C10575000,0,0,3620,3820,0,0,1,0,0,10575.00,NDXP230526P10575000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10600000,0,0,3594,3794,0,0,1,0,0,10600.00,NDXP230526P10600000,0.05,0,0,20,0,0,0,0,6
Fri May 26 2023,NDXP230526C10625000,0,0,3570,3770,0,0,1,0,0,10625.00,NDXP230526P10625000,0.08,-0.145,0,20,1,0,0,0,1
Fri May 26 2023,NDXP230526C10650000,0,0,3544,3744,0,0,1,0,0,10650.00,NDXP230526P10650000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10675000,0,0,3520,3720,0,0,1,0,0,10675.00,NDXP230526P10675000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10700000,0,0,3494,3694,0,0,1,0,0,10700.00,NDXP230526P10700000,0.05,0,0,20,0,0,0,0,6
Fri May 26 2023,NDXP230526C10725000,3193,0,3470,3670,0,0,1,0,1,10725.00,NDXP230526P10725000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10750000,0,0,3444,3644,0,0,1,0,0,10750.00,NDXP230526P10750000,0.05,0,0,20,0,0,0,0,1
Fri May 26 2023,NDXP230526C10775000,0,0,3420,3620,0,0,1,0,0,10775.00,NDXP230526P10775000,7.6,0,0,20,0,0,0,0,1
Fri May 26 2023,NDXP230526C10800000,0,0,3394,3594,0,0,1,0,0,10800.00,NDXP230526P10800000,0.05,0,0,20,0,0,0,0,7
Fri May 26 2023,NDXP230526C10825000,0,0,3370,3570,0,0,1,0,0,10825.00,NDXP230526P10825000,0.05,0,0,20,0,0,0,0,2
Fri May 26 2023,NDXP230526C10850000,0,0,3344,3544,0,0,1,0,0,10850.00,NDXP230526P10850000,0.05,0,0,20,0,0,0,0,2
Fri May 26 2023,NDXP230526C10875000,0,0,3320,3520,0,0,1,0,0,10875.00,NDXP230526P10875000,0.05,0,0,20,0,0,0,0,5
Fri May 26 2023,NDXP230526C10900000,0,0,3294,3494,0,0,1,0,0,10900.00,NDXP230526P10900000,0.05,0,0,20,0,0,0,0,12
Fri May 26 2023,NDXP230526C10925000,0,0,3270,3470,0,0,1,0,0,10925.00,NDXP230526P10925000,0,0,0,20,0,0,0,0,0
Fri May 26 2023,NDXP230526C10950000,0,0,3244,3444,0,0,1,0,0,10950.00,NDXP230526P10950000,5.6,0,0,20,0,0,0,0,25
Fri May 26 2023,NDXP230526C10975000,0,0,3220,3420,0,0,1,0,0,10975.00,NDXP230526P10975000,0.05,0,0,20,0,0,0,0,1
