
"PowerShares QQQ Trust, Series 1 (ETF)",Last: 353.12,Change:  4.33
Date: 8 June 2023, 8:48 PM EDT",Bid: 353.06,Ask: 353.1,Size: 9*6,Volume: 47,153,922
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Jun 08 2023,QQQ230608C00280000,72.81,4.05,72.28,73.67,18,0,1,0,20,280.00,QQQ230608P00280000,0.01,0.005,0,0.01,20,0,0,0,102
Thu Jun 08 2023,QQQ230608C00289000,64.26,4.54,63.18,64.75,5,0,1,0,1,289.00,QQQ230608P00289000,0.04,0,0,0.01,0,0,0,0,5
Thu Jun 08 2023,QQQ230608C00290000,0,0,62.26,63.69,0,0,1,0,0,290.00,QQQ230608P00290000,0.04,0,0,0.01,0,0,0,0,18
Thu Jun 08 2023,QQQ230608C00291000,0,0,61.35,62.72,0,0,1,0,0,291.00,QQQ230608P00291000,0,0,0,0.01,0,0,0,0,0
Thu Jun 08 2023,QQQ230608C00292000,0,0,60.18,61.75,0,0,1,0,0,292.00,QQQ230608P00292000,0,0,0,0.01,0,0,0,0,0
Thu Jun 08 2023,QQQ230608C00293000,60.34,4.575,59.18,60.75,1,0,1,0,0,293.00,QQQ230608P00293000,0,0,0,0.01,0,0,0,0,0
Thu Jun 08 2023,QQQ230608C00294000,55.63,0.88,58.18,59.69,1,0,1,0,0,294.00,QQQ230608P00294000,0.01,0,0,0.01,0,0,0,0,5
Thu Jun 08 2023,QQQ230608C00295000,0,0,57.34,58.72,0,0,1,0,0,295.00,QQQ230608P00295000,0,0,0,0.01,0,0,0,0,0
Thu Jun 08 2023,QQQ230608C00296000,0,0,56.21,57.75,0,0,1,0,0,296.00,QQQ230608P00296000,0,0,0,0.01,0,0,0,0,0
Thu Jun 08 2023,QQQ230608C00297000,56.06,4.28,55.18,56.75,1,0,1,0,1,297.00,QQQ230608P00297000,0,0,0,0.01,0,0,0,0,0
Thu Jun 08 2023,QQQ230608C00298000,51.68,0.925,54.28,55.75,10,0,1,0,1,298.00,QQQ230608P00298000,0.15,0,0,0.01,0,0,0,0,94
Thu Jun 08 2023,QQQ230608C00299000,0,0,53.2,54.73,0,0,1,0,0,299.00,QQQ230608P00299000,0.16,0,0,0.01,0,0,0,0,6
Thu Jun 08 2023,QQQ230608C00300000,52.64,0,52.27,53.71,0,0,1,0,1,300.00,QQQ230608P00300000,0.01,0,0,0.01,0,0,0,0,22
Thu Jun 08 2023,QQQ230608C00301000,56.36,0,51.37,52.7,0,0,1,0,0,301.00,QQQ230608P00301000,0.01,0,0,0.01,0,0,0,0,10
Thu Jun 08 2023,QQQ230608C00302000,0,0,50.29,51.73,0,0,1,0,0,302.00,QQQ230608P00302000,0.07,0,0,0.01,0,0,0,0,1
Thu Jun 08 2023,QQQ230608C00303000,0,0,49.19,50.76,0,0,1,0,0,303.00,QQQ230608P00303000,0,0,0,0.01,0,0,0,0,0
Thu Jun 08 2023,QQQ230608C00304000,45.7,0.9,48.3,49.75,1,0,1,0,1,304.00,QQQ230608P00304000,0.01,0,0,0.01,0,0,0,0,539
Thu Jun 08 2023,QQQ230608C00305000,0,0,47.19,48.6,0,0,1,0,0,305.00,QQQ230608P00305000,0.01,0,0,0.01,0,0,0,0,178
Thu Jun 08 2023,QQQ230608C00306000,42.94,0,46.19,47.66,0,0,1,0,1,306.00,QQQ230608P00306000,0.01,0,0,0.01,0,0,0,0,45
Thu Jun 08 2023,QQQ230608C00307000,0,0,45.28,46.7,0,0,1,0,0,307.00,QQQ230608P00307000,0.01,0,0,0.01,0,0,0,0,76
Thu Jun 08 2023,QQQ230608C00308000,0,0,44.23,45.64,0,0,1,0,0,308.00,QQQ230608P00308000,0.1,0,0,0.01,0,8.4551,0,0,250
Thu Jun 08 2023,QQQ230608C00309000,42.48,0,43.19,44.62,0,0,1,0,19,309.00,QQQ230608P00309000,0.26,0,0,0.01,0,8.2695,0,0,62
Thu Jun 08 2023,QQQ230608C00310000,39.1,0,42.5,43.66,0,0,1,0,39,310.00,QQQ230608P00310000,0.03,0,0,0.01,0,8.0843,0,0,15
Thu Jun 08 2023,QQQ230608C00311000,38.5,0,41.23,42.69,0,0,1,0,1,311.00,QQQ230608P00311000,0,0,0,0.01,0,7.8994,0,0,0
Thu Jun 08 2023,QQQ230608C00312000,40.4,3.6,40.58,41.76,2,0,1,0,2,312.00,QQQ230608P00312000,0.03,0,0,0.01,0,7.7148,0,0,12
Thu Jun 08 2023,QQQ230608C00313000,39.61,3.805,39.19,40.76,2,0,1,0,2,313.00,QQQ230608P00313000,0,0,0,0.01,0,7.5305,0,0,0
Thu Jun 08 2023,QQQ230608C00314000,38.64,3.83,38.28,39.76,2,0,1,0,2,314.00,QQQ230608P00314000,0.01,0.005,0,0.01,8,7.3464,0,0,90
Thu Jun 08 2023,QQQ230608C00315000,38.05,4.24,37.19,38.76,6,0,1,0,29,315.00,QQQ230608P00315000,0.01,0,0,0.01,0,7.1627,0,0,638
Thu Jun 08 2023,QQQ230608C00316000,36.4,3.585,36.3,37.72,1,8.28,1,0,1,316.00,QQQ230608P00316000,0.01,0,0,0.01,0,6.9792,0,0,461
Thu Jun 08 2023,QQQ230608C00317000,36.2,0,35.19,36.6,0,0,1,0,5,317.00,QQQ230608P00317000,0.01,0.005,0,0.01,50,6.796,0,0,457
Thu Jun 08 2023,QQQ230608C00318000,34.75,3.935,34.57,35.5,7,0,1,0,8,318.00,QQQ230608P00318000,0.01,0,0,0.01,0,6.613,0,0,254
Thu Jun 08 2023,QQQ230608C00319000,32.88,0,33.57,34.5,0,0,1,0,6,319.00,QQQ230608P00319000,0.01,0,0,0.01,0,6.4302,0,0,31
Thu Jun 08 2023,QQQ230608C00320000,32.7,3.88,32.56,33.51,7,6.8586,1,0,17,320.00,QQQ230608P00320000,0.01,0,0,0.01,0,6.2476,0,0,201
Thu Jun 08 2023,QQQ230608C00321000,31.51,3.69,31.71,32.49,40,0,1,0,45,321.00,QQQ230608P00321000,0.01,0,0,0.01,0,6.0652,0,0,121
Thu Jun 08 2023,QQQ230608C00322000,30.59,3.77,30.57,31.5,25,0,1,0,32,322.00,QQQ230608P00322000,0.01,0,0,0.01,0,5.883,0,0,51
Thu Jun 08 2023,QQQ230608C00323000,30.08,4.26,29.66,30.49,1,7.9457,1,0,11,323.00,QQQ230608P00323000,0.03,0,0,0.01,0,5.7009,0,0,47
Thu Jun 08 2023,QQQ230608C00324000,29.07,4.25,28.64,29.4,4,6.941,1,0,5,324.00,QQQ230608P00324000,0.01,-0.005,0,0.01,2,5.5189,0,0,291
Thu Jun 08 2023,QQQ230608C00325000,27.95,4.125,27.9,28.04,402,0,1,0,504,325.00,QQQ230608P00325000,0.01,-0.005,0,0.01,10,5.3371,0,0,795
Thu Jun 08 2023,QQQ230608C00326000,26.74,3.92,26.58,27.36,7,0,1,0,10,326.00,QQQ230608P00326000,0.01,-0.005,0,0.01,64,5.1553,0,0,636
Thu Jun 08 2023,QQQ230608C00327000,25.73,3.9,25.69,26.35,6,6.1842,1,0,17,327.00,QQQ230608P00327000,0.02,0,0,0.01,0,4.9737,0,0,141
Thu Jun 08 2023,QQQ230608C00328000,25.04,4.21,24.72,25.41,3,6.6381,1,0,6,328.00,QQQ230608P00328000,0.01,-0.005,0,0.01,62,4.792,0,0,275
Thu Jun 08 2023,QQQ230608C00329000,23.78,3.95,23.75,24.49,24,6.9361,1,0,43,329.00,QQQ230608P00329000,0.01,-0.005,0,0.01,510,4.6104,0,0,215
Thu Jun 08 2023,QQQ230608C00330000,23.07,4.25,22.76,23.4,23,6.2728,1,0,100,330.00,QQQ230608P00330000,0.01,-0.005,0,0.01,634,4.4288,0,0,601
Thu Jun 08 2023,QQQ230608C00331000,22.04,4.21,21.64,22.34,69,4.6907,1,0,69,331.00,QQQ230608P00331000,0.01,-0.015,0,0.01,863,4.2471,0,0,2879
Thu Jun 08 2023,QQQ230608C00332000,20.71,3.87,20.72,21.41,7,5.6903,1,0,14,332.00,QQQ230608P00332000,0.02,-0.005,0,0.01,1407,4.0654,0,0,317
Thu Jun 08 2023,QQQ230608C00333000,19.51,3.67,19.7,20.36,1,5.0327,1,0,28,333.00,QQQ230608P00333000,0.01,-0.015,0,0.01,847,3.8835,0,0,360
Thu Jun 08 2023,QQQ230608C00334000,18.74,3.905,18.68,19.34,139,4.4782,1,0,128,334.00,QQQ230608P00334000,0.01,-0.015,0,0.01,1051,3.7016,0,0,600
Thu Jun 08 2023,QQQ230608C00335000,17.76,3.915,17.71,18.34,12,4.583,1,0,69,335.00,QQQ230608P00335000,0.01,-0.025,0,0.01,90,3.5194,0,0,1267
Thu Jun 08 2023,QQQ230608C00336000,16.91,4.07,16.67,17.42,38,4.4788,1,0,56,336.00,QQQ230608P00336000,0.01,-0.025,0,0.01,2566,3.3371,0,0,1035
Thu Jun 08 2023,QQQ230608C00337000,16,4.145,15.72,16.34,37,4.1908,1,0,148,337.00,QQQ230608P00337000,0.01,-0.025,0,0.01,1413,3.1544,0,0,1974
Thu Jun 08 2023,QQQ230608C00338000,15.21,4.345,14.72,15.34,19,3.961,1,0,173,338.00,QQQ230608P00338000,0.01,-0.035,0,0.01,1182,2.9714,0,0,4866
Thu Jun 08 2023,QQQ230608C00339000,14.18,4.31,13.76,14.42,125,4.1582,1,0,299,339.00,QQQ230608P00339000,0.01,-0.045,0,0.01,7253,2.788,0,0,1741
Thu Jun 08 2023,QQQ230608C00340000,13,4.125,12.73,13.2,535,2.7525,1,0,712,340.00,QQQ230608P00340000,0.01,-0.055,0,0.01,5513,2.604,0,0,3315
Thu Jun 08 2023,QQQ230608C00341000,12.28,4.385,11.35,12.37,33,0,1,0,505,341.00,QQQ230608P00341000,0.01,-0.075,0,0.01,2024,2.4194,0,0,824
Thu Jun 08 2023,QQQ230608C00342000,10.5,3.57,10.72,11.41,278,3.2672,1,0,559,342.00,QQQ230608P00342000,0.01,-0.105,0,0.01,3496,2.2341,0,0,4014
Thu Jun 08 2023,QQQ230608C00343000,9.86,3.885,9.63,10.36,80,2.3881,1,0,303,343.00,QQQ230608P00343000,0.01,-0.145,0,0.01,5022,2.0479,0,0,1540
Thu Jun 08 2023,QQQ230608C00344000,9.17,4.125,8.69,9.34,434,2.421,0.9999,0.0001,491,344.00,QQQ230608P00344000,0.01,-0.215,0,0.01,9736,1.8607,-0.0001,0.0001,4526
Thu Jun 08 2023,QQQ230608C00345000,8.01,3.865,7.76,8.23,802,0,0.9996,0.0007,475,345.00,QQQ230608P00345000,0.01,-0.33,0,0.01,14006,1.6723,-0.0004,0.0007,4728
