
CBOE Volatility Index,Last: 17.33,Change:  0.3
Date: 15 May 2023, 11:47 AM EDT,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed May 17 2023,VIX230517C00010000,8.2,-0.325,7.75,7.9,33,3.6446,0.998,0.0016,2993,10.00,VIX230517P00010000,0.01,0,0,0.01,0,3.1171,-0.0018,0.0015,37
Wed May 17 2023,VIX230517C00010500,11.68,0,7.25,7.4,0,3.3621,0.9975,0.002,20,10.50,VIX230517P00010500,0,0,0,0.01,0,2.8735,-0.0022,0.002,0
Wed May 17 2023,VIX230517C00011000,7.98,0,6.75,6.9,0,3.0921,0.9969,0.0027,1454,11.00,VIX230517P00011000,0.01,0,0,0.01,0,2.6404,-0.0028,0.0027,7
Wed May 17 2023,VIX230517C00011500,9.1,0,6.25,6.4,0,2.8332,0.9961,0.0036,292,11.50,VIX230517P00011500,0,0,0,0.01,0,2.4169,-0.0036,0.0036,0
Wed May 17 2023,VIX230517C00012000,6.1,-0.425,5.75,5.9,1,2.5844,0.9951,0.0048,632,12.00,VIX230517P00012000,0.01,0,0,0.01,0,2.2018,-0.0046,0.0048,7
Wed May 17 2023,VIX230517C00012500,5.4,0,5.25,5.4,0,2.3445,0.9938,0.0065,302,12.50,VIX230517P00012500,0.01,0,0,0.01,0,1.9944,-0.006,0.0065,16
Wed May 17 2023,VIX230517C00013000,5.42,0,4.75,4.9,0,2.1127,0.9919,0.009,755,13.00,VIX230517P00013000,0.01,0,0,0.01,0,1.7939,-0.0078,0.009,13
Wed May 17 2023,VIX230517C00013500,5.7,0,4.25,4.4,0,1.888,0.9892,0.0126,30,13.50,VIX230517P00013500,0.01,0,0,0.01,0,1.5996,-0.0105,0.0126,60
Wed May 17 2023,VIX230517C00014000,4.8,0,3.75,3.9,0,1.6695,0.9851,0.0184,587,14.00,VIX230517P00014000,0.01,0.005,0,0.01,6013,1.4106,-0.0147,0.0183,16026
Wed May 17 2023,VIX230517C00014500,4.14,0,3.25,3.4,0,1.4564,0.9782,0.0276,641,14.50,VIX230517P00014500,0.01,0,0,0.02,0,1.3475,-0.0215,0.0276,36364
Wed May 17 2023,VIX230517C00015000,3.37,-0.18,2.79,2.88,13,1.3575,0.9664,0.0433,3432,15.00,VIX230517P00015000,0.01,0,0,0.02,0,1.1528,-0.0333,0.0433,52686
Wed May 17 2023,VIX230517C00016000,2.14,-0.435,1.81,1.9,17,1.0478,0.9108,0.1102,5748,16.00,VIX230517P00016000,0.03,0,0.03,0.04,382,0.9821,-0.0889,0.1102,71324
Wed May 17 2023,VIX230517C00017000,0.96,-0.705,0.94,1.01,282,0.9164,0.7607,0.2531,4275,17.00,VIX230517P00017000,0.14,0.015,0.14,0.17,20529,0.8886,-0.2391,0.2531,245165
Wed May 17 2023,VIX230517C00018000,0.44,-0.51,0.39,0.42,2720,0.9528,0.4556,0.3094,23293,18.00,VIX230517P00018000,0.56,0.155,0.57,0.62,4786,0.9516,-0.5441,0.3094,148495
Wed May 17 2023,VIX230517C00019000,0.2,-0.325,0.17,0.19,2931,1.1167,0.2354,0.2041,77738,19.00,VIX230517P00019000,1.35,0.37,1.33,1.37,4643,1.0633,-0.7643,0.2041,161295
Wed May 17 2023,VIX230517C00020000,0.09,-0.23,0.09,0.11,1307,1.3228,0.1368,0.1215,135430,20.00,VIX230517P00020000,2.26,0.48,2.24,2.3,7989,1.2432,-0.863,0.1215,107857
Wed May 17 2023,VIX230517C00021000,0.07,-0.14,0.07,0.09,5240,1.6055,0.0912,0.0778,117429,21.00,VIX230517P00021000,3.25,0.58,3.2,3.3,325,1.5028,-0.9085,0.0778,69275
Wed May 17 2023,VIX230517C00022000,0.04,-0.12,0.04,0.07,3929,1.7838,0.0663,0.0537,146880,22.00,VIX230517P00022000,4.15,0.525,4.15,4.3,22,1.6391,-0.9334,0.0537,64551
Wed May 17 2023,VIX230517C00023000,0.03,-0.095,0.04,0.06,2561,2.0324,0.0509,0.0392,129599,23.00,VIX230517P00023000,5.2,0.6,5.15,5.3,54,1.9125,-0.9488,0.0392,61865
Wed May 17 2023,VIX230517C00024000,0.05,-0.055,0.04,0.06,1201,2.2953,0.0404,0.0298,130087,24.00,VIX230517P00024000,6.15,0.575,6.15,6.3,28,2.1679,-0.9594,0.0298,42556
Wed May 17 2023,VIX230517C00025000,0.05,-0.045,0.04,0.05,3244,2.4956,0.0328,0.0233,179527,25.00,VIX230517P00025000,6.99,0.44,7.15,7.3,176,2.4081,-0.9669,0.0233,43052
Wed May 17 2023,VIX230517C00026000,0.03,-0.055,0.03,0.05,1254,2.6726,0.0273,0.0187,85251,26.00,VIX230517P00026000,7.8,0.25,8.15,8.25,46,2.2402,-0.9725,0.0187,31212
Wed May 17 2023,VIX230517C00027000,0.03,-0.045,0.01,0.05,182,2.7621,0.023,0.0153,64024,27.00,VIX230517P00027000,9.1,0.575,9.15,9.25,26,2.4361,-0.9767,0.0153,23071
Wed May 17 2023,VIX230517C00028000,0.03,-0.035,0.02,0.04,83,2.9592,0.0198,0.0128,78666,28.00,VIX230517P00028000,9.85,0.325,10.15,10.25,7,2.6236,-0.98,0.0128,9383
Wed May 17 2023,VIX230517C00029000,0.03,-0.025,0.01,0.04,7,3.0676,0.0172,0.0108,19679,29.00,VIX230517P00029000,10.45,0,11.15,11.25,0,2.8035,-0.9825,0.0108,1720
Wed May 17 2023,VIX230517C00030000,0.03,-0.025,0.01,0.04,2102,3.2437,0.0152,0.0093,242486,30.00,VIX230517P00030000,12.15,0.625,12.15,12.25,15,2.9763,-0.9845,0.0093,1977
Wed May 17 2023,VIX230517C00031000,0.03,-0.01,0.02,0.04,568,3.4979,0.0135,0.0081,38347,31.00,VIX230517P00031000,12.19,0,13.15,13.25,0,3.1428,-0.9862,0.0081,1490
Wed May 17 2023,VIX230517C00032000,0.02,-0.025,0,0.04,663,3.4728,0.0122,0.0072,135758,32.00,VIX230517P00032000,13.81,0.31,14.15,14.25,3,3.3033,-0.9875,0.0072,454
Wed May 17 2023,VIX230517C00032500,0.02,-0.02,0,0.04,52,3.5497,0.0116,0.0067,35592,32.50,VIX230517P00032500,13.08,0,14.65,14.75,0,3.3816,-0.9881,0.0067,68
Wed May 17 2023,VIX230517C00033000,0.03,0,0,0.03,0,3.5006,0.0111,0.0064,21242,33.00,VIX230517P00033000,14.5,0,15.15,15.25,0,3.4585,-0.9886,0.0064,38
Wed May 17 2023,VIX230517C00034000,0.03,-0.005,0,0.03,6,3.6436,0.0102,0.0057,28411,34.00,VIX230517P00034000,14.93,0,16.15,16.25,0,3.6086,-0.9896,0.0057,547
Wed May 17 2023,VIX230517C00035000,0.01,-0.025,0,0.03,21,3.7815,0.0094,0.0052,70912,35.00,VIX230517P00035000,16.68,0.18,17.1,17.25,20,0,-0.9904,0.0052,183
Wed May 17 2023,VIX230517C00036000,0.02,-0.005,0,0.03,500,3.9146,0.0087,0.0047,31014,36.00,VIX230517P00036000,18.05,0,18.15,18.25,0,3.895,-0.9911,0.0047,135
Wed May 17 2023,VIX230517C00037000,0.01,-0.015,0,0.02,5,3.8672,0.0081,0.0043,10388,37.00,VIX230517P00037000,16.9,0,19.1,19.25,0,0,-0.9916,0.0043,77
Wed May 17 2023,VIX230517C00037500,0.04,0,0,0.03,0,4.1061,0.0078,0.0041,20825,37.50,VIX230517P00037500,16.1,0,19.6,19.75,0,0,-0.9919,0.0041,245
Wed May 17 2023,VIX230517C00038000,0.03,0,0,0.03,0,4.1679,0.0076,0.0039,12831,38.00,VIX230517P00038000,19.7,0.225,20.1,20.25,3,0,-0.9922,0.0039,5
Wed May 17 2023,VIX230517C00039000,0.01,-0.015,0,0.03,1,4.2885,0.0071,0.0036,25630,39.00,VIX230517P00039000,0,0,21.1,21.25,0,0,-0.9926,0.0036,0
Wed May 17 2023,VIX230517C00040000,0.01,-0.015,0,0.02,17,4.2177,0.0067,0.0034,130328,40.00,VIX230517P00040000,20.81,0,22.1,22.25,0,0,-0.993,0.0034,30
Wed May 17 2023,VIX230517C00042500,0.01,0,0,0.01,0,4.1958,0.0058,0.0028,52363,42.50,VIX230517P00042500,22.97,0,24.6,24.75,0,0,-0.9939,0.0028,25
Wed May 17 2023,VIX230517C00045000,0.01,0,0,0.01,0,4.4347,0.0052,0.0024,61518,45.00,VIX230517P00045000,23.22,0,27.1,27.25,0,0,-0.9946,0.0024,12
Wed May 17 2023,VIX230517C00047500,0.03,0,0,0.03,0,5.1847,0.0046,0.0021,24824,47.50,VIX230517P00047500,25.77,0,29.6,29.75,0,0,-0.9951,0.0021,2
