
NASDAQ 100,Last: 12964.1553,Change:  -87.0447
Date: 11 April 2023, 22:37 UTC−4,Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 11 2023,NDXP230411C08500000,0,0,4368,4568,0,0,1,0,0,8500.00,NDXP230411P08500000,0,0,0,0.05,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C08600000,0,0,4268,4468,0,0,1,0,0,8600.00,NDXP230411P08600000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C08700000,0,0,4168,4368,0,0,1,0,0,8700.00,NDXP230411P08700000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C08800000,0,0,4068,4268,0,0,1,0,0,8800.00,NDXP230411P08800000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C08900000,0,0,3968,4168,0,0,1,0,0,8900.00,NDXP230411P08900000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09000000,0,0,3868,4068,0,0,1,0,0,9000.00,NDXP230411P09000000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09100000,0,0,3768,3968,0,0,1,0,0,9100.00,NDXP230411P09100000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09200000,0,0,3668,3868,0,0,1,0,0,9200.00,NDXP230411P09200000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09300000,0,0,3568,3768,0,0,1,0,0,9300.00,NDXP230411P09300000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09400000,0,0,3468,3668,0,0,1,0,0,9400.00,NDXP230411P09400000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09500000,0,0,3368,3568,0,0,1,0,0,9500.00,NDXP230411P09500000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09525000,0,0,3342.5,3542.5,0,0,1,0,0,9525.00,NDXP230411P09525000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09550000,0,0,3318,3518,0,0,1,0,0,9550.00,NDXP230411P09550000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09575000,0,0,3292.5,3492.5,0,0,1,0,0,9575.00,NDXP230411P09575000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09600000,0,0,3268,3468,0,0,1,0,0,9600.00,NDXP230411P09600000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09625000,0,0,3242.5,3442.5,0,0,1,0,0,9625.00,NDXP230411P09625000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09650000,0,0,3218,3418,0,0,1,0,0,9650.00,NDXP230411P09650000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09675000,0,0,3192.5,3392.5,0,0,1,0,0,9675.00,NDXP230411P09675000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09700000,0,0,3168,3368,0,0,1,0,0,9700.00,NDXP230411P09700000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09725000,0,0,3142.5,3342.5,0,0,1,0,0,9725.00,NDXP230411P09725000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09750000,0,0,3118,3318,0,0,1,0,0,9750.00,NDXP230411P09750000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09775000,0,0,3092.5,3292.5,0,0,1,0,0,9775.00,NDXP230411P09775000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09800000,0,0,3068,3268,0,0,1,0,0,9800.00,NDXP230411P09800000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09825000,0,0,3042.5,3242.5,0,0,1,0,0,9825.00,NDXP230411P09825000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09850000,0,0,3018,3218,0,0,1,0,0,9850.00,NDXP230411P09850000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09875000,0,0,2992.5,3192.5,0,0,1,0,0,9875.00,NDXP230411P09875000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09900000,0,0,2968,3168,0,0,1,0,0,9900.00,NDXP230411P09900000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09925000,0,0,2942.5,3142.5,0,0,1,0,0,9925.00,NDXP230411P09925000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09950000,0,0,2918,3118,0,0,1,0,0,9950.00,NDXP230411P09950000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C09975000,0,0,2892.5,3092.5,0,0,1,0,0,9975.00,NDXP230411P09975000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10000000,0,0,2868,3068,0,0,1,0,0,10000.00,NDXP230411P10000000,0.05,0,0,0.2,0,0,0,0,18
Tue Apr 11 2023,NDXP230411C10025000,0,0,2842.5,3042.5,0,0,1,0,0,10025.00,NDXP230411P10025000,0,0,0,20,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10050000,0,0,2818,3018,0,0,1,0,0,10050.00,NDXP230411P10050000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10075000,0,0,2792.5,2992.5,0,0,1,0,0,10075.00,NDXP230411P10075000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10100000,0,0,2768,2968,0,0,1,0,0,10100.00,NDXP230411P10100000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10125000,0,0,2742.5,2942.5,0,0,1,0,0,10125.00,NDXP230411P10125000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10150000,0,0,2718,2918,0,0,1,0,0,10150.00,NDXP230411P10150000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10175000,0,0,2692.5,2892.5,0,0,1,0,0,10175.00,NDXP230411P10175000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10200000,0,0,2668,2868,0,0,1,0,0,10200.00,NDXP230411P10200000,0,0,0,0.2,0,0,0,0,0
Tue Apr 11 2023,NDXP230411C10225000,0,0,2642.5,2842.5,0,0,1,0,0,10225.00,NDXP230411P10225000,0,0,0,0.2,0,0,0,0,0
