
SPDR S&P 500 ETF Trust,Last: 409.72,Change:  0.11
Date: 11 April, 2023 à 22:23 UTC−4,Bid: 409.9,Ask: 409.94,Size: 3*5,Volume: 59 252 940
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 11 2023,SPY230411C00330000,76.65,0,79.31,80.51,0,0,1,0,8,330.00,SPY230411P00330000,0.01,0,0,0.01,0,0,0,0,772
Tue Apr 11 2023,SPY230411C00336000,0,0,73.31,74.51,0,0,1,0,0,336.00,SPY230411P00336000,0.01,0,0,0.01,0,0,0,0,382
Tue Apr 11 2023,SPY230411C00337000,0,0,72.31,73.51,0,0,1,0,0,337.00,SPY230411P00337000,0.01,0,0,0.01,0,0,0,0,656
Tue Apr 11 2023,SPY230411C00338000,0,0,71.31,72.51,0,0,1,0,0,338.00,SPY230411P00338000,0.01,0,0,0.01,0,0,0,0,848
Tue Apr 11 2023,SPY230411C00339000,0,0,70.31,71.51,0,0,1,0,0,339.00,SPY230411P00339000,0.01,0,0,0.01,0,0,0,0,1820
Tue Apr 11 2023,SPY230411C00340000,0,0,69.31,70.51,0,0,1,0,0,340.00,SPY230411P00340000,0.01,0,0,0.01,0,0,0,0,563
Tue Apr 11 2023,SPY230411C00341000,0,0,68.31,69.51,0,0,1,0,0,341.00,SPY230411P00341000,0.01,0,0,0.01,0,0,0,0,441
Tue Apr 11 2023,SPY230411C00342000,0,0,67.31,68.51,0,0,1,0,0,342.00,SPY230411P00342000,0.04,0,0,0.01,0,0,0,0,2
Tue Apr 11 2023,SPY230411C00343000,0,0,66.31,67.51,0,0,1,0,0,343.00,SPY230411P00343000,0.01,0,0,0.01,0,0,0,0,299
Tue Apr 11 2023,SPY230411C00344000,0,0,65.31,66.51,0,0,1,0,0,344.00,SPY230411P00344000,0.04,0,0,0.01,0,0,0,0,7
Tue Apr 11 2023,SPY230411C00345000,0,0,64.31,65.51,0,0,1,0,0,345.00,SPY230411P00345000,0.01,0,0,0.01,0,0,0,0,15
Tue Apr 11 2023,SPY230411C00346000,0,0,63.31,64.51,0,0,1,0,0,346.00,SPY230411P00346000,0.01,0,0,0.01,0,0,0,0,41
Tue Apr 11 2023,SPY230411C00347000,0,0,62.31,63.51,0,0,1,0,0,347.00,SPY230411P00347000,0.02,0,0,0.01,0,0,0,0,490
Tue Apr 11 2023,SPY230411C00348000,63.51,0,61.31,62.51,0,0,1,0,1,348.00,SPY230411P00348000,0.01,0,0,0.01,0,0,0,0,69
Tue Apr 11 2023,SPY230411C00349000,0,0,60.31,61.51,0,0,1,0,0,349.00,SPY230411P00349000,0.02,0,0,0.01,0,0,0,0,435
Tue Apr 11 2023,SPY230411C00350000,57,0,59.31,60.51,0,0,1,0,2,350.00,SPY230411P00350000,0.01,0,0,0.01,0,0,0,0,247
