
Standard & Poors 500 Index,Last: 4090.3799,Change:  -10.2201
Date: 5 April 2023, 19:41 UTC−4,Bid: 4061.71,Ask: 4107.79,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Apr 05 2023,SPXW230405C01000000,3077.61,-14.29,0,0,13,0,0,0,2,1000.00,SPXW230405P01000000,0,0,0,0,0,0,0,0,0
Wed Apr 05 2023,SPXW230405C01200000,2926.91,0,0,0,0,0,0,0,1,1200.00,SPXW230405P01200000,0,0,0,0,0,0,0,0,0
Wed Apr 05 2023,SPXW230405C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW230405P01400000,0,0,0,0,0,0,0,0,0
Wed Apr 05 2023,SPXW230405C01600000,0,0,0,0,0,0,0,0,0,1600.00,SPXW230405P01600000,0,0,0,0,0,0,0,0,0
Wed Apr 05 2023,SPXW230405C01800000,0,0,0,0,0,0,0,0,0,1800.00,SPXW230405P01800000,0,0,0,0,0,0,0,0,0
Wed Apr 05 2023,SPXW230405C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW230405P02000000,0.05,0,0,0,0,0,0,0,32
Wed Apr 05 2023,SPXW230405C02200000,0,0,0,0,0,0,0,0,0,2200.00,SPXW230405P02200000,0.05,0,0,0,0,0,0,0,41
Wed Apr 05 2023,SPXW230405C02400000,0,0,0,0,0,0,0,0,0,2400.00,SPXW230405P02400000,0.05,0,0,0,0,0,0,0,35
Wed Apr 05 2023,SPXW230405C02600000,0,0,0,0,0,0,0,0,0,2600.00,SPXW230405P02600000,0.05,0.025,0,0,1,0,0,0,556
Wed Apr 05 2023,SPXW230405C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW230405P02800000,0.05,0,0,0,0,0,0,0,218
Wed Apr 05 2023,SPXW230405C02900000,0,0,0,0,0,0,0,0,0,2900.00,SPXW230405P02900000,0.05,0,0,0,0,0,0,0,53
Wed Apr 05 2023,SPXW230405C03000000,993.83,0,0,0,0,0,0,0,1,3000.00,SPXW230405P03000000,0.05,0,0,0,0,0,0,0,129
Wed Apr 05 2023,SPXW230405C03100000,0,0,0,0,0,0,0,0,0,3100.00,SPXW230405P03100000,0.05,0.025,0,0,3,0,0,0,191
Wed Apr 05 2023,SPXW230405C03150000,0,0,0,0,0,0,0,0,0,3150.00,SPXW230405P03150000,0.05,0,0,0,0,0,0,0,5
Wed Apr 05 2023,SPXW230405C03200000,888.93,-3.27,0,0,5,0,0,0,5,3200.00,SPXW230405P03200000,0.05,0,0,0,0,0,0,0,1449
Wed Apr 05 2023,SPXW230405C03250000,748.47,0,0,0,0,0,0,0,1,3250.00,SPXW230405P03250000,0.05,0,0,0,0,0,0,0,6156
Wed Apr 05 2023,SPXW230405C03300000,0,0,0,0,0,0,0,0,0,3300.00,SPXW230405P03300000,0.05,0,0,0,0,0,0,0,4123
Wed Apr 05 2023,SPXW230405C03350000,576.49,0,0,0,0,0,0,0,3,3350.00,SPXW230405P03350000,0.1,0,0,0,0,0,0,0,3929
Wed Apr 05 2023,SPXW230405C03400000,687.14,-5.06,0,0,3,0,0,0,12,3400.00,SPXW230405P03400000,0.07,0,0,0,0,0,0,0,2087
Wed Apr 05 2023,SPXW230405C03450000,667.64,0,0,0,0,0,0,0,2,3450.00,SPXW230405P03450000,0.1,0,0,0,0,0,0,0,368
Wed Apr 05 2023,SPXW230405C03500000,625.63,0,0,0,0,0,0,0,0,3500.00,SPXW230405P03500000,0.05,0.025,0,0,1,0,0,0,10308
Wed Apr 05 2023,SPXW230405C03550000,388.27,0,0,0,0,0,0,0,10,3550.00,SPXW230405P03550000,0.05,0,0,0,0,0,0,0,563
Wed Apr 05 2023,SPXW230405C03575000,424.52,0,0,0,0,0,0,0,1,3575.00,SPXW230405P03575000,0.05,0,0,0,0,0,0,0,1082
Wed Apr 05 2023,SPXW230405C03600000,400.01,0,0,0,0,0,0,0,7,3600.00,SPXW230405P03600000,0.07,0,0,0,0,0,0,0,758
Wed Apr 05 2023,SPXW230405C03625000,312.15,0,0,0,0,0,0,0,11,3625.00,SPXW230405P03625000,0.2,0,0,0,0,0,0,0,171
Wed Apr 05 2023,SPXW230405C03630000,0,0,0,0,0,0,0,0,0,3630.00,SPXW230405P03630000,0.05,0,0,0,0,0,0,0,504
Wed Apr 05 2023,SPXW230405C03640000,449.48,-2.82,0,0,112,0,0,0,112,3640.00,SPXW230405P03640000,0.05,0,0,0,0,0,0,0,258
Wed Apr 05 2023,SPXW230405C03650000,0,0,0,0,0,0,0,0,0,3650.00,SPXW230405P03650000,0.05,0,0,0,0,0,0,0,6511
Wed Apr 05 2023,SPXW230405C03660000,422.92,-9.38,0,0,27,0,0,0,27,3660.00,SPXW230405P03660000,0.05,0,0,0,0,0,0,0,108
Wed Apr 05 2023,SPXW230405C03670000,0,0,0,0,0,0,0,0,0,3670.00,SPXW230405P03670000,0.05,0,0,0,0,0,0,0,225
